,NOC,Team,Year,Season,Games,num_olympians,num_medalist,perc_medalist
0,ABW,Aruba,1988,Summer,1988 Summer,8,,
1,ABW,Aruba,1992,Summer,1992 Summer,5,,
2,ABW,Aruba,1996,Summer,1996 Summer,3,,
3,ABW,Aruba,2000,Summer,2000 Summer,5,,
4,ABW,Aruba,2004,Summer,2004 Summer,4,,
5,ABW,Aruba,2008,Summer,2008 Summer,2,,
6,ABW,Aruba,2012,Summer,2012 Summer,4,,
7,ABW,Aruba,2016,Summer,2016 Summer,7,,
8,AFG,Afghanistan,1960,Summer,1960 Summer,12,,
9,AFG,Afghanistan,1964,Summer,1964 Summer,8,,
10,AFG,Afghanistan,1968,Summer,1968 Summer,5,,
11,AFG,Afghanistan,1972,Summer,1972 Summer,8,,
12,AFG,Afghanistan,1980,Summer,1980 Summer,11,,
13,AFG,Afghanistan,1988,Summer,1988 Summer,5,,
14,AFG,Afghanistan,1996,Summer,1996 Summer,2,,
15,AFG,Afghanistan,2004,Summer,2004 Summer,5,,
16,AFG,Afghanistan,2008,Summer,2008 Summer,4,1.0,0.25
17,AFG,Afghanistan,2012,Summer,2012 Summer,6,1.0,0.16666666666666666
18,AFG,Afghanistan,2016,Summer,2016 Summer,3,,
19,AGO,Angola,1980,Summer,1980 Summer,11,,
20,AGO,Angola,1988,Summer,1988 Summer,24,,
21,AGO,Angola,1992,Summer,1992 Summer,28,,
22,AGO,Angola,1996,Summer,1996 Summer,28,,
23,AGO,Angola,2000,Summer,2000 Summer,30,,
24,AGO,Angola,2004,Summer,2004 Summer,30,,
25,AGO,Angola,2008,Summer,2008 Summer,32,,
26,AGO,Angola,2012,Summer,2012 Summer,33,,
27,AGO,Angola,2016,Summer,2016 Summer,26,,
28,AHO,Netherlands Antilles,1960,Summer,1960 Summer,5,,
29,AHO,Netherlands Antilles,1964,Summer,1964 Summer,4,,
30,AHO,Netherlands Antilles,1968,Summer,1968 Summer,5,,
31,AHO,Netherlands Antilles,1972,Summer,1972 Summer,2,,
32,AHO,Netherlands Antilles,1976,Summer,1976 Summer,4,,
33,AHO,Netherlands Antilles,1984,Summer,1984 Summer,8,,
34,AHO,Netherlands Antilles,1988,Summer,1988 Summer,3,1.0,0.3333333333333333
35,AHO,Netherlands Antilles,1988,Winter,1988 Winter,2,,
36,AHO,Netherlands Antilles,1992,Summer,1992 Summer,4,,
37,AHO,Netherlands Antilles,1992,Winter,1992 Winter,2,,
38,AHO,Netherlands Antilles,1996,Summer,1996 Summer,6,,
39,AHO,Netherlands Antilles,2000,Summer,2000 Summer,7,,
40,AHO,Netherlands Antilles,2004,Summer,2004 Summer,3,,
41,AHO,Netherlands Antilles,2008,Summer,2008 Summer,3,,
42,ALB,Albania,1972,Summer,1972 Summer,5,,
43,ALB,Albania,1992,Summer,1992 Summer,7,,
44,ALB,Albania,1996,Summer,1996 Summer,7,,
45,ALB,Albania,2000,Summer,2000 Summer,4,,
46,ALB,Albania,2004,Summer,2004 Summer,7,,
47,ALB,Albania,2006,Winter,2006 Winter,1,,
48,ALB,Albania,2008,Summer,2008 Summer,11,,
49,ALB,Albania,2010,Winter,2010 Winter,1,,
50,ALB,Albania,2012,Summer,2012 Summer,9,,
51,ALB,Albania,2014,Winter,2014 Winter,1,,
52,ALB,Albania,2016,Summer,2016 Summer,6,,
53,AND,Andorra,1976,Summer,1976 Summer,3,,
54,AND,Andorra,1976,Winter,1976 Winter,5,,
55,AND,Andorra,1980,Summer,1980 Summer,2,,
56,AND,Andorra,1980,Winter,1980 Winter,3,,
57,AND,Andorra,1984,Summer,1984 Summer,2,,
58,AND,Andorra,1984,Winter,1984 Winter,2,,
59,AND,Andorra,1988,Summer,1988 Summer,3,,
60,AND,Andorra,1988,Winter,1988 Winter,4,,
61,AND,Andorra,1992,Summer,1992 Summer,8,,
62,AND,Andorra,1992,Winter,1992 Winter,5,,
63,AND,Andorra,1994,Winter,1994 Winter,6,,
64,AND,Andorra,1996,Summer,1996 Summer,8,,
65,AND,Andorra,1998,Winter,1998 Winter,3,,
66,AND,Andorra,2000,Summer,2000 Summer,5,,
67,AND,Andorra,2002,Winter,2002 Winter,3,,
68,AND,Andorra,2004,Summer,2004 Summer,6,,
69,AND,Andorra,2006,Winter,2006 Winter,3,,
70,AND,Andorra,2008,Summer,2008 Summer,5,,
71,AND,Andorra,2010,Winter,2010 Winter,6,,
72,AND,Andorra,2012,Summer,2012 Summer,6,,
73,AND,Andorra,2014,Winter,2014 Winter,6,,
74,AND,Andorra,2016,Summer,2016 Summer,4,,
75,ARE,United Arab Emirates,1984,Summer,1984 Summer,7,,
76,ARE,United Arab Emirates,1988,Summer,1988 Summer,12,,
77,ARE,United Arab Emirates,1992,Summer,1992 Summer,13,,
78,ARE,United Arab Emirates,1996,Summer,1996 Summer,4,,
79,ARE,United Arab Emirates,2000,Summer,2000 Summer,4,,
80,ARE,United Arab Emirates,2004,Summer,2004 Summer,4,1.0,0.25
81,ARE,United Arab Emirates,2008,Summer,2008 Summer,8,,
82,ARE,United Arab Emirates,2012,Summer,2012 Summer,26,,
83,ARE,United Arab Emirates,2016,Summer,2016 Summer,12,1.0,0.08333333333333333
84,ARG,Ardilla,1960,Summer,1960 Summer,3,,
85,ARG,Argentina,1960,Summer,1960 Summer,84,1.0,0.011904761904761904
86,ARG,Argentina,1960,Winter,1960 Winter,6,,
87,ARG,Argentina,1964,Summer,1964 Summer,97,1.0,0.010309278350515464
88,ARG,Argentina,1964,Winter,1964 Winter,12,,
89,ARG,Argentina,1968,Summer,1968 Summer,89,2.0,0.02247191011235955
90,ARG,Argentina,1968,Winter,1968 Winter,5,,
91,ARG,Argentina,1972,Summer,1972 Summer,92,1.0,0.010869565217391304
92,ARG,Argentina,1972,Winter,1972 Winter,2,,
93,ARG,Argentina,1976,Summer,1976 Summer,69,,
94,ARG,Argentina,1976,Winter,1976 Winter,8,,
95,ARG,Argentina,1980,Winter,1980 Winter,13,,
96,ARG,Argentina,1984,Summer,1984 Summer,81,,
97,ARG,Argentina,1984,Winter,1984 Winter,18,,
98,ARG,Argentina,1988,Summer,1988 Summer,118,13.0,0.11016949152542373
99,ARG,Argentina,1988,Winter,1988 Winter,15,,
100,ARG,Argentina,1992,Summer,1992 Summer,84,2.0,0.023809523809523808
101,ARG,Argentina,1992,Winter,1992 Winter,20,,
102,ARG,Argentina,1994,Winter,1994 Winter,10,,
103,ARG,Argentina,1996,Summer,1996 Summer,179,20.0,0.11173184357541899
104,ARG,Argentina,1998,Winter,1998 Winter,2,,
105,ARG,Argentina,2000,Summer,2000 Summer,143,20.0,0.13986013986013987
106,ARG,Argentina,2002,Winter,2002 Winter,11,,
107,ARG,Argentina,2004,Summer,2004 Summer,152,49.0,0.3223684210526316
108,ARG,Argentina,2006,Winter,2006 Winter,9,,
109,ARG,Argentina,2008,Summer,2008 Summer,132,51.0,0.38636363636363635
110,ARG,Argentina,2010,Winter,2010 Winter,7,,
111,ARG,Argentina,2012,Summer,2012 Summer,137,19.0,0.1386861313868613
112,ARG,Argentina,2014,Winter,2014 Winter,7,,
113,ARG,Argentina,2016,Summer,2016 Summer,215,22.0,0.10232558139534884
114,ARG,Mizar,1960,Summer,1960 Summer,2,,
115,ARG,Rampage,1964,Summer,1964 Summer,2,,
116,ARG,Tango,1960,Summer,1960 Summer,3,3.0,1.0
117,ARG,Tango,1964,Summer,1964 Summer,3,,
118,ARM,Armenia,1994,Winter,1994 Winter,2,,
119,ARM,Armenia,1996,Summer,1996 Summer,32,2.0,0.0625
120,ARM,Armenia,1998,Winter,1998 Winter,7,,
121,ARM,Armenia,2000,Summer,2000 Summer,25,1.0,0.04
122,ARM,Armenia,2002,Winter,2002 Winter,9,,
123,ARM,Armenia,2004,Summer,2004 Summer,18,,
124,ARM,Armenia,2006,Winter,2006 Winter,5,,
125,ARM,Armenia,2008,Summer,2008 Summer,25,6.0,0.24
126,ARM,Armenia,2010,Winter,2010 Winter,4,,
127,ARM,Armenia,2012,Summer,2012 Summer,24,3.0,0.125
128,ARM,Armenia,2014,Winter,2014 Winter,4,,
129,ARM,Armenia,2016,Summer,2016 Summer,31,4.0,0.12903225806451613
130,ASM,American Samoa,1988,Summer,1988 Summer,6,,
131,ASM,American Samoa,1992,Summer,1992 Summer,3,,
132,ASM,American Samoa,1994,Winter,1994 Winter,2,,
133,ASM,American Samoa,1996,Summer,1996 Summer,7,,
134,ASM,American Samoa,2000,Summer,2000 Summer,4,,
135,ASM,American Samoa,2004,Summer,2004 Summer,3,,
136,ASM,American Samoa,2008,Summer,2008 Summer,4,,
137,ASM,American Samoa,2012,Summer,2012 Summer,4,,
138,ASM,American Samoa,2016,Summer,2016 Summer,4,,
139,ATG,Antigua and Barbuda,1976,Summer,1976 Summer,10,,
140,ATG,Antigua and Barbuda,1984,Summer,1984 Summer,14,,
141,ATG,Antigua and Barbuda,1988,Summer,1988 Summer,15,,
142,ATG,Antigua and Barbuda,1992,Summer,1992 Summer,13,,
143,ATG,Antigua and Barbuda,1996,Summer,1996 Summer,13,,
144,ATG,Antigua and Barbuda,2000,Summer,2000 Summer,3,,
145,ATG,Antigua and Barbuda,2004,Summer,2004 Summer,5,,
146,ATG,Antigua and Barbuda,2008,Summer,2008 Summer,5,,
147,ATG,Antigua and Barbuda,2012,Summer,2012 Summer,4,,
148,ATG,Antigua and Barbuda,2016,Summer,2016 Summer,8,,
149,AUS,Australia,1960,Summer,1960 Summer,179,33.0,0.18435754189944134
150,AUS,Australia,1960,Winter,1960 Winter,30,,
151,AUS,Australia,1964,Summer,1964 Summer,233,35.0,0.15021459227467812
152,AUS,Australia,1964,Winter,1964 Winter,5,,
153,AUS,Australia,1968,Summer,1968 Summer,128,45.0,0.3515625
154,AUS,Australia,1968,Winter,1968 Winter,3,,
155,AUS,Australia,1972,Summer,1972 Summer,168,14.0,0.08333333333333333
156,AUS,Australia,1972,Winter,1972 Winter,4,,
157,AUS,Australia,1976,Summer,1976 Summer,180,23.0,0.12777777777777777
158,AUS,Australia,1976,Winter,1976 Winter,8,,
159,AUS,Australia,1980,Summer,1980 Summer,120,10.0,0.08333333333333333
160,AUS,Australia,1980,Winter,1980 Winter,9,,
161,AUS,Australia,1984,Summer,1984 Summer,242,46.0,0.19008264462809918
162,AUS,Australia,1984,Winter,1984 Winter,10,,
163,AUS,Australia,1988,Summer,1988 Summer,252,33.0,0.13095238095238096
164,AUS,Australia,1988,Winter,1988 Winter,19,,
165,AUS,Australia,1992,Summer,1992 Summer,279,53.0,0.18996415770609318
166,AUS,Australia,1992,Winter,1992 Winter,22,,
167,AUS,Australia,1994,Winter,1994 Winter,25,4.0,0.16
168,AUS,Australia,1996,Summer,1996 Summer,417,123.0,0.2949640287769784
169,AUS,Australia,1998,Winter,1998 Winter,23,1.0,0.043478260869565216
170,AUS,Australia,2000,Summer,2000 Summer,617,161.0,0.26094003241491087
171,AUS,Australia,2002,Winter,2002 Winter,25,2.0,0.08
172,AUS,Australia,2004,Summer,2004 Summer,470,134.0,0.2851063829787234
173,AUS,Australia,2006,Winter,2006 Winter,40,2.0,0.05
174,AUS,Australia,2008,Summer,2008 Summer,432,124.0,0.28703703703703703
175,AUS,Australia,2010,Winter,2010 Winter,40,3.0,0.075
176,AUS,Australia,2012,Summer,2012 Summer,405,99.0,0.24444444444444444
177,AUS,Australia,2014,Winter,2014 Winter,60,3.0,0.05
178,AUS,Australia,2016,Summer,2016 Summer,420,71.0,0.16904761904761906
179,AUS,Barrenjoey,1964,Summer,1964 Summer,3,3.0,1.0
180,AUS,Buraddoo,1960,Summer,1960 Summer,3,,
181,AUS,Cambria,1964,Summer,1964 Summer,3,,
182,AUS,Diablo,1964,Summer,1964 Summer,2,,
183,AUS,Falcon VI,1960,Summer,1960 Summer,2,,
184,AUS,Gabbiano,1960,Summer,1960 Summer,3,,
185,AUS,Greenoaks Dundee,2008,Summer,2008 Summer,1,,
186,AUS,Maryke,1964,Summer,1964 Summer,2,,
187,AUS,Pakaria,1960,Summer,1960 Summer,2,,
188,AUS,Quando Quando,2008,Summer,2008 Summer,1,,
189,AUS,Relampago,2008,Summer,2008 Summer,1,,
190,AUT,Austria,1960,Summer,1960 Summer,96,3.0,0.03125
191,AUT,Austria,1960,Winter,1960 Winter,26,5.0,0.19230769230769232
192,AUT,Austria,1964,Summer,1964 Summer,54,,
193,AUT,Austria,1964,Winter,1964 Winter,83,16.0,0.1927710843373494
194,AUT,Austria,1968,Summer,1968 Summer,43,5.0,0.11627906976744186
195,AUT,Austria,1968,Winter,1968 Winter,76,14.0,0.18421052631578946
196,AUT,Austria,1972,Summer,1972 Summer,111,3.0,0.02702702702702703
197,AUT,Austria,1972,Winter,1972 Winter,40,4.0,0.1
198,AUT,Austria,1976,Summer,1976 Summer,60,1.0,0.016666666666666666
199,AUT,Austria,1976,Winter,1976 Winter,77,6.0,0.07792207792207792
200,AUT,Austria,1980,Summer,1980 Summer,83,5.0,0.060240963855421686
201,AUT,Austria,1980,Winter,1980 Winter,43,8.0,0.18604651162790697
202,AUT,Austria,1984,Summer,1984 Summer,102,3.0,0.029411764705882353
203,AUT,Austria,1984,Winter,1984 Winter,65,1.0,0.015384615384615385
204,AUT,Austria,1988,Summer,1988 Summer,73,1.0,0.0136986301369863
205,AUT,Austria,1988,Winter,1988 Winter,81,9.0,0.1111111111111111
206,AUT,Austria,1992,Summer,1992 Summer,102,6.0,0.058823529411764705
207,AUT,Austria,1992,Winter,1992 Winter,58,22.0,0.3793103448275862
208,AUT,Austria,1994,Winter,1994 Winter,80,10.0,0.125
209,AUT,Austria,1996,Summer,1996 Summer,72,2.0,0.027777777777777776
210,AUT,Austria,1998,Winter,1998 Winter,96,17.0,0.17708333333333334
211,AUT,Austria,2000,Summer,2000 Summer,92,4.0,0.043478260869565216
212,AUT,Austria,2002,Winter,2002 Winter,90,14.0,0.15555555555555556
213,AUT,Austria,2004,Summer,2004 Summer,74,7.0,0.0945945945945946
214,AUT,Austria,2006,Winter,2006 Winter,73,21.0,0.2876712328767123
215,AUT,Austria,2008,Summer,2008 Summer,70,3.0,0.04285714285714286
216,AUT,Austria,2010,Winter,2010 Winter,75,21.0,0.28
217,AUT,Austria,2012,Summer,2012 Summer,70,,
218,AUT,Austria,2014,Winter,2014 Winter,126,24.0,0.19047619047619047
219,AUT,Austria,2016,Summer,2016 Summer,71,2.0,0.028169014084507043
220,AUT,Brigantia,1964,Summer,1964 Summer,2,,
221,AUT,Evita VI,1960,Summer,1960 Summer,2,,
222,AUT,May,1960,Summer,1960 Summer,2,,
223,AUT,Surprise,1960,Summer,1960 Summer,3,,
224,AZE,Azerbaijan,1996,Summer,1996 Summer,23,1.0,0.043478260869565216
225,AZE,Azerbaijan,1998,Winter,1998 Winter,4,,
226,AZE,Azerbaijan,2000,Summer,2000 Summer,31,3.0,0.0967741935483871
227,AZE,Azerbaijan,2002,Winter,2002 Winter,4,,
228,AZE,Azerbaijan,2004,Summer,2004 Summer,36,5.0,0.1388888888888889
229,AZE,Azerbaijan,2006,Winter,2006 Winter,2,,
230,AZE,Azerbaijan,2008,Summer,2008 Summer,44,7.0,0.1590909090909091
231,AZE,Azerbaijan,2010,Winter,2010 Winter,2,,
232,AZE,Azerbaijan,2012,Summer,2012 Summer,52,10.0,0.19230769230769232
233,AZE,Azerbaijan,2014,Winter,2014 Winter,3,,
234,AZE,Azerbaijan,2016,Summer,2016 Summer,56,18.0,0.32142857142857145
235,BDI,Burundi,1996,Summer,1996 Summer,7,1.0,0.14285714285714285
236,BDI,Burundi,2000,Summer,2000 Summer,6,,
237,BDI,Burundi,2004,Summer,2004 Summer,7,,
238,BDI,Burundi,2008,Summer,2008 Summer,3,,
239,BDI,Burundi,2012,Summer,2012 Summer,6,,
240,BDI,Burundi,2016,Summer,2016 Summer,9,1.0,0.1111111111111111
241,BEL,Belgium,1960,Summer,1960 Summer,99,4.0,0.04040404040404041
242,BEL,Belgium,1964,Summer,1964 Summer,61,3.0,0.04918032786885246
243,BEL,Belgium,1964,Winter,1964 Winter,8,,
244,BEL,Belgium,1968,Summer,1968 Summer,82,3.0,0.036585365853658534
245,BEL,Belgium,1972,Summer,1972 Summer,88,2.0,0.022727272727272728
246,BEL,Belgium,1972,Winter,1972 Winter,1,,
247,BEL,Belgium,1976,Summer,1976 Summer,101,7.0,0.06930693069306931
248,BEL,Belgium,1976,Winter,1976 Winter,4,,
249,BEL,Belgium,1980,Summer,1980 Summer,59,1.0,0.01694915254237288
250,BEL,Belgium,1980,Winter,1980 Winter,2,,
251,BEL,Belgium,1984,Summer,1984 Summer,63,5.0,0.07936507936507936
252,BEL,Belgium,1984,Winter,1984 Winter,4,,
253,BEL,Belgium,1988,Summer,1988 Summer,59,2.0,0.03389830508474576
254,BEL,Belgium,1988,Winter,1988 Winter,1,,
255,BEL,Belgium,1992,Summer,1992 Summer,68,3.0,0.04411764705882353
256,BEL,Belgium,1992,Winter,1992 Winter,5,,
257,BEL,Belgium,1994,Winter,1994 Winter,5,,
258,BEL,Belgium,1996,Summer,1996 Summer,61,6.0,0.09836065573770492
259,BEL,Belgium,1998,Winter,1998 Winter,1,1.0,1.0
260,BEL,Belgium,2000,Summer,2000 Summer,68,7.0,0.10294117647058823
261,BEL,Belgium,2002,Winter,2002 Winter,6,,
262,BEL,Belgium,2004,Summer,2004 Summer,50,3.0,0.06
263,BEL,Belgium,2006,Winter,2006 Winter,4,,
264,BEL,Belgium,2008,Summer,2008 Summer,94,5.0,0.05319148936170213
265,BEL,Belgium,2010,Winter,2010 Winter,8,,
266,BEL,Belgium,2012,Summer,2012 Summer,111,3.0,0.02702702702702703
267,BEL,Belgium,2014,Winter,2014 Winter,7,,
268,BEL,Belgium,2016,Summer,2016 Summer,104,21.0,0.20192307692307693
269,BEL,Meteor,1960,Summer,1960 Summer,2,,
270,BEN,Benin,1972,Summer,1972 Summer,3,,
271,BEN,Benin,1980,Summer,1980 Summer,16,,
272,BEN,Benin,1984,Summer,1984 Summer,3,,
273,BEN,Benin,1988,Summer,1988 Summer,7,,
274,BEN,Benin,1992,Summer,1992 Summer,6,,
275,BEN,Benin,1996,Summer,1996 Summer,5,,
276,BEN,Benin,2000,Summer,2000 Summer,4,,
277,BEN,Benin,2004,Summer,2004 Summer,4,,
278,BEN,Benin,2008,Summer,2008 Summer,5,,
279,BEN,Benin,2012,Summer,2012 Summer,5,,
280,BEN,Benin,2016,Summer,2016 Summer,6,,
281,BER,Bermudes,1960,Summer,1960 Summer,3,,
282,BER,Bermudian,1960,Summer,1960 Summer,2,,
283,BER,Oleander II,1960,Summer,1960 Summer,3,,
284,BER,Oleander XII,1964,Summer,1964 Summer,3,,
285,BFA,Burkina Faso,1972,Summer,1972 Summer,1,,
286,BFA,Burkina Faso,1988,Summer,1988 Summer,6,,
287,BFA,Burkina Faso,1992,Summer,1992 Summer,4,,
288,BFA,Burkina Faso,1996,Summer,1996 Summer,5,,
289,BFA,Burkina Faso,2000,Summer,2000 Summer,4,,
290,BFA,Burkina Faso,2004,Summer,2004 Summer,5,,
291,BFA,Burkina Faso,2008,Summer,2008 Summer,6,,
292,BFA,Burkina Faso,2012,Summer,2012 Summer,5,,
293,BFA,Burkina Faso,2016,Summer,2016 Summer,5,,
294,BGD,Bangladesh,1984,Summer,1984 Summer,1,,
295,BGD,Bangladesh,1988,Summer,1988 Summer,6,,
296,BGD,Bangladesh,1992,Summer,1992 Summer,6,,
297,BGD,Bangladesh,1996,Summer,1996 Summer,4,,
298,BGD,Bangladesh,2000,Summer,2000 Summer,5,,
299,BGD,Bangladesh,2004,Summer,2004 Summer,4,,
300,BGD,Bangladesh,2008,Summer,2008 Summer,5,,
301,BGD,Bangladesh,2012,Summer,2012 Summer,5,,
302,BGD,Bangladesh,2016,Summer,2016 Summer,7,,
303,BGR,Bulgaria,1960,Summer,1960 Summer,98,7.0,0.07142857142857142
304,BGR,Bulgaria,1960,Winter,1960 Winter,7,,
305,BGR,Bulgaria,1964,Summer,1964 Summer,63,10.0,0.15873015873015872
306,BGR,Bulgaria,1964,Winter,1964 Winter,7,,
307,BGR,Bulgaria,1968,Summer,1968 Summer,112,26.0,0.23214285714285715
308,BGR,Bulgaria,1968,Winter,1968 Winter,6,,
309,BGR,Bulgaria,1972,Summer,1972 Summer,130,22.0,0.16923076923076924
310,BGR,Bulgaria,1972,Winter,1972 Winter,4,,
311,BGR,Bulgaria,1976,Summer,1976 Summer,158,39.0,0.2468354430379747
312,BGR,Bulgaria,1976,Winter,1976 Winter,29,,
313,BGR,Bulgaria,1980,Summer,1980 Summer,271,88.0,0.3247232472324723
314,BGR,Bulgaria,1980,Winter,1980 Winter,8,1.0,0.125
315,BGR,Bulgaria,1984,Winter,1984 Winter,16,,
316,BGR,Bulgaria,1988,Summer,1988 Summer,172,37.0,0.21511627906976744
317,BGR,Bulgaria,1988,Winter,1988 Winter,27,,
318,BGR,Bulgaria,1992,Summer,1992 Summer,138,16.0,0.11594202898550725
319,BGR,Bulgaria,1992,Winter,1992 Winter,30,,
320,BGR,Bulgaria,1994,Winter,1994 Winter,17,,
321,BGR,Bulgaria,1996,Summer,1996 Summer,110,21.0,0.19090909090909092
322,BGR,Bulgaria,1998,Winter,1998 Winter,19,1.0,0.05263157894736842
323,BGR,Bulgaria,2000,Summer,2000 Summer,91,11.0,0.12087912087912088
324,BGR,Bulgaria,2002,Winter,2002 Winter,23,2.0,0.08695652173913043
325,BGR,Bulgaria,2004,Summer,2004 Summer,95,15.0,0.15789473684210525
326,BGR,Bulgaria,2006,Winter,2006 Winter,21,1.0,0.047619047619047616
327,BGR,Bulgaria,2008,Summer,2008 Summer,70,5.0,0.07142857142857142
328,BGR,Bulgaria,2010,Winter,2010 Winter,19,,
329,BGR,Bulgaria,2012,Summer,2012 Summer,63,2.0,0.031746031746031744
330,BGR,Bulgaria,2014,Winter,2014 Winter,18,,
331,BGR,Bulgaria,2016,Summer,2016 Summer,51,7.0,0.13725490196078433
332,BHR,Bahrain,1984,Summer,1984 Summer,10,,
333,BHR,Bahrain,1988,Summer,1988 Summer,7,,
334,BHR,Bahrain,1992,Summer,1992 Summer,10,,
335,BHR,Bahrain,1996,Summer,1996 Summer,5,,
336,BHR,Bahrain,2000,Summer,2000 Summer,4,,
337,BHR,Bahrain,2004,Summer,2004 Summer,10,,
338,BHR,Bahrain,2008,Summer,2008 Summer,14,,
339,BHR,Bahrain,2012,Summer,2012 Summer,12,1.0,0.08333333333333333
340,BHR,Bahrain,2016,Summer,2016 Summer,33,2.0,0.06060606060606061
341,BHS,Bahamas,1960,Summer,1960 Summer,3,,
342,BHS,Bahamas,1964,Summer,1964 Summer,3,,
343,BHS,Bahamas,1968,Summer,1968 Summer,16,,
344,BHS,Bahamas,1972,Summer,1972 Summer,20,,
345,BHS,Bahamas,1976,Summer,1976 Summer,11,,
346,BHS,Bahamas,1984,Summer,1984 Summer,22,,
347,BHS,Bahamas,1988,Summer,1988 Summer,16,,
348,BHS,Bahamas,1992,Summer,1992 Summer,14,1.0,0.07142857142857142
349,BHS,Bahamas,1996,Summer,1996 Summer,26,5.0,0.19230769230769232
350,BHS,Bahamas,2000,Summer,2000 Summer,25,10.0,0.4
351,BHS,Bahamas,2004,Summer,2004 Summer,22,2.0,0.09090909090909091
352,BHS,Bahamas,2008,Summer,2008 Summer,25,7.0,0.28
353,BHS,Bahamas,2012,Summer,2012 Summer,21,4.0,0.19047619047619047
354,BHS,Bahamas,2016,Summer,2016 Summer,29,6.0,0.20689655172413793
355,BHS,Bim,1960,Summer,1960 Summer,3,,
356,BHS,Combine,1960,Summer,1960 Summer,2,,
357,BHS,Gem,1964,Summer,1964 Summer,2,2.0,1.0
358,BHS,Gem VII,1960,Summer,1960 Summer,2,,
359,BHS,Guanahani,1964,Summer,1964 Summer,3,,
360,BHS,John B,1960,Summer,1960 Summer,3,,
361,BHS,John B,1964,Summer,1964 Summer,3,,
362,BIH,Bosnia and Herzegovina,1992,Summer,1992 Summer,10,,
363,BIH,Bosnia and Herzegovina,1994,Winter,1994 Winter,10,,
364,BIH,Bosnia and Herzegovina,1996,Summer,1996 Summer,9,,
365,BIH,Bosnia and Herzegovina,1998,Winter,1998 Winter,8,,
366,BIH,Bosnia and Herzegovina,2000,Summer,2000 Summer,9,,
367,BIH,Bosnia and Herzegovina,2002,Winter,2002 Winter,2,,
368,BIH,Bosnia and Herzegovina,2004,Summer,2004 Summer,9,,
369,BIH,Bosnia and Herzegovina,2006,Winter,2006 Winter,6,,
370,BIH,Bosnia and Herzegovina,2008,Summer,2008 Summer,5,,
371,BIH,Bosnia and Herzegovina,2010,Winter,2010 Winter,5,,
372,BIH,Bosnia and Herzegovina,2012,Summer,2012 Summer,6,,
373,BIH,Bosnia and Herzegovina,2014,Winter,2014 Winter,5,,
374,BIH,Bosnia and Herzegovina,2016,Summer,2016 Summer,11,,
375,BLR,Belarus,1994,Winter,1994 Winter,33,2.0,0.06060606060606061
376,BLR,Belarus,1996,Summer,1996 Summer,157,20.0,0.12738853503184713
377,BLR,Belarus,1998,Winter,1998 Winter,59,2.0,0.03389830508474576
378,BLR,Belarus,2000,Summer,2000 Summer,139,21.0,0.1510791366906475
379,BLR,Belarus,2002,Winter,2002 Winter,64,1.0,0.015625
380,BLR,Belarus,2004,Summer,2004 Summer,151,15.0,0.09933774834437085
381,BLR,Belarus,2006,Winter,2006 Winter,28,1.0,0.03571428571428571
382,BLR,Belarus,2008,Summer,2008 Summer,177,27.0,0.15254237288135594
383,BLR,Belarus,2010,Winter,2010 Winter,47,3.0,0.06382978723404255
384,BLR,Belarus,2012,Summer,2012 Summer,160,21.0,0.13125
385,BLR,Belarus,2014,Winter,2014 Winter,26,4.0,0.15384615384615385
386,BLR,Belarus,2016,Summer,2016 Summer,120,12.0,0.1
387,BLZ,Belize,1968,Summer,1968 Summer,7,,
388,BLZ,Belize,1972,Summer,1972 Summer,1,,
389,BLZ,Belize,1976,Summer,1976 Summer,4,,
390,BLZ,Belize,1984,Summer,1984 Summer,11,,
391,BLZ,Belize,1988,Summer,1988 Summer,10,,
392,BLZ,Belize,1992,Summer,1992 Summer,10,,
393,BLZ,Belize,1996,Summer,1996 Summer,5,,
394,BLZ,Belize,2000,Summer,2000 Summer,2,,
395,BLZ,Belize,2004,Summer,2004 Summer,2,,
396,BLZ,Belize,2008,Summer,2008 Summer,4,,
397,BLZ,Belize,2012,Summer,2012 Summer,3,,
398,BLZ,Belize,2016,Summer,2016 Summer,3,,
399,BMU,Bermuda,1960,Summer,1960 Summer,1,,
400,BMU,Bermuda,1964,Summer,1964 Summer,1,,
401,BMU,Bermuda,1968,Summer,1968 Summer,6,,
402,BMU,Bermuda,1972,Summer,1972 Summer,9,,
403,BMU,Bermuda,1976,Summer,1976 Summer,16,1.0,0.0625
404,BMU,Bermuda,1984,Summer,1984 Summer,12,,
405,BMU,Bermuda,1988,Summer,1988 Summer,12,,
406,BMU,Bermuda,1992,Summer,1992 Summer,20,,
407,BMU,Bermuda,1992,Winter,1992 Winter,1,,
408,BMU,Bermuda,1994,Winter,1994 Winter,1,,
409,BMU,Bermuda,1996,Summer,1996 Summer,9,,
410,BMU,Bermuda,1998,Winter,1998 Winter,1,,
411,BMU,Bermuda,2000,Summer,2000 Summer,6,,
412,BMU,Bermuda,2002,Winter,2002 Winter,1,,
413,BMU,Bermuda,2004,Summer,2004 Summer,10,,
414,BMU,Bermuda,2006,Winter,2006 Winter,1,,
415,BMU,Bermuda,2008,Summer,2008 Summer,6,,
416,BMU,Bermuda,2010,Winter,2010 Winter,1,,
417,BMU,Bermuda,2012,Summer,2012 Summer,8,,
418,BMU,Bermuda,2014,Winter,2014 Winter,1,,
419,BMU,Bermuda,2016,Summer,2016 Summer,8,,
